t,amp
0.334765625,-1243.6084
0.3349609375,-1243.7224
0.33515625,-1243.9504
0.3353515625,-1244.0265
0.335546875,-1244.2925
0.3357421875,-1244.6345
0.3359375,-1244.1785
0.3361328125,-1244.3306
0.336328125,-1244.8627
0.3365234375,-1244.6726
0.33671875,-1244.2545
0.3369140625,-1244.5966
0.337109375,-1244.6726
0.3373046875,-1244.1024
0.3375,-1244.1405
0.3376953125,-1244.2925
0.337890625,-1244.1024
0.3380859375,-1244.2166
0.33828125,-1244.3306
0.3384765625,-1244.3685
0.338671875,-1244.6726
0.3388671875,-1244.5205
0.3390625,-1244.2545
0.3392578125,-1244.5205
0.339453125,-1244.3306
0.3396484375,-1243.7985
0.33984375,-1244.0645
0.3400390625,-1244.5586
0.340234375,-1244.4446
0.3404296875,-1244.6345
0.340625,-1245.3187
0.3408203125,-1245.3567
0.341015625,-1245.2047
0.3412109375,-1245.3948
0.34140625,-1245.3567
0.3416015625,-1245.3567
0.341796875,-1245.1287
0.3419921875,-1245.2047
0.3421875,-1245.2427
0.3423828125,-1245.1287
0.342578125,-1245.1666
0.3427734375,-1244.9767
0.34296875,-1244.9767
0.3431640625,-1244.6345
0.343359375,-1244.4446
0.3435546875,-1244.8246
0.34375,-1244.9006
0.3439453125,-1244.8246
0.344140625,-1244.9386
0.3443359375,-1245.1287
0.34453125,-1244.8627
0.3447265625,-1244.6345
0.344921875,-1244.8246
0.3451171875,-1244.8246
0.3453125,-1244.7106
0.3455078125,-1244.4065
0.345703125,-1244.0645
0.3458984375,-1243.6464
0.34609375,-1243.2664
0.3462890625,-1243.2664
0.346484375,-1243.3423
0.3466796875,-1243.3423
0.346875,-1243.7985
0.3470703125,-1244.2166
0.347265625,-1243.9504
0.3474609375,-1243.7604
0.34765625,-1243.5323
0.3478515625,-1242.8483
0.348046875,-1242.6582
0.3482421875,-1242.5822
0.3484375,-1242.4681
0.3486328125,-1242.9242
0.348828125,-1243.0763
0.3490234375,-1243.0382
0.34921875,-1243.8744
